x,y,Housing,Cost of Living,Commute,Business Freedom,Safety,Education,Environmental Quality,Economy,Clusters
0.8585681723331157,0.6384699882558703,8,8,6,8,6,4,8,8,1
1.4409685178832075,-0.31526087617975107,8,6,4,10,6,6,8,8,1
2.159470398806772,-0.1837776967800162,6,6,6,10,6,4,8,8,1
-3.9670993515997575,-2.2280489702730306,8,6,6,10,10,6,6,4,1
2.6503729139997554,-6.1759014700174575,4,2,6,10,8,6,10,8,0
-2.029074362529853,-3.7416084569211483,8,8,6,10,10,6,10,6,1
0.9360093785752427,-7.939045645587194,4,2,8,10,10,6,10,4,0
0.2689438991738279,-5.131915060352665,4,6,6,10,10,8,8,6,1
3.907724606684046,-8.675616183543376,2,2,4,10,8,4,8,8,0
-3.630536086480213,-9.126990504715678,4,2,2,10,8,2,6,8,0
4.6878380982372265,-2.3509960070609335,4,4,6,8,8,8,6,6,0
0.9306975601226146,-2.811118749393481,6,6,6,10,8,6,10,8,1
5.076969462929497,-1.5643106916360283,6,6,6,10,4,8,6,8,1
-4.131753539029615,4.9700164079777265,10,10,6,10,8,2,4,6,2
5.773623446829686,5.711636144801324,8,8,6,2,4,6,6,8,1
-3.9935904037803196,4.064694123614554,10,8,6,10,6,2,4,4,2
3.7417303759952403,-0.8739765827962238,6,6,6,6,6,8,8,8,1
5.789280754203717,-8.119805387111892,2,2,2,10,8,4,8,8,0
2.4362285062544458,-2.858747781764725,6,6,6,10,6,6,10,8,1
-3.1973451066939598,-0.31244950642311947,10,8,6,10,8,6,8,4,1
-4.363811847833346,4.236995347943402,10,10,6,10,6,2,6,4,2
1.8735822108293594,4.422393013571004,8,8,6,4,10,6,8,6,1
6.382441944318581,-4.392608007157534,4,2,4,8,8,6,6,8,0
-2.999276422455195,-2.058668842335476,10,8,6,10,10,6,8,6,1
-4.678549634280777,3.6835603032214115,10,8,6,10,8,2,6,4,2
5.796022693383888,-0.6738111707788834,8,6,6,4,8,8,10,8,1
1.5507535792731293,-7.106201903633037,4,2,6,10,10,6,10,6,0
2.1328620073618314,0.96720408426728,8,6,6,10,4,4,8,8,1
-3.3364351656319013,-0.002564685192165603,10,8,6,10,8,6,8,6,1
-2.8236132219356675,5.105843375986216,10,8,6,8,6,2,4,4,2
0.13261359601098704,6.654244539180837,10,8,6,6,8,2,4,8,2
2.477418838274751,1.379183901811751,8,6,2,8,6,6,6,8,1
-0.8578556052967543,0.7360496034044426,6,6,6,10,8,6,6,4,1
0.1560317735372058,-1.3055879251685618,8,6,6,8,10,6,8,6,1
-4.2068113457799265,1.6247724741993086,10,10,6,10,8,6,6,4,2
1.7265677024323554,0.9237121055005413,8,8,6,6,6,6,8,8,1
0.9360252700802415,0.8975461938959353,8,8,6,10,6,6,8,8,1
2.2137003118802707,-3.8438937097165136,4,6,6,10,8,6,8,8,0
5.57260556680961,-6.332038137520397,2,4,6,10,6,10,8,8,0
-2.7613938683159502,2.4578568049366076,10,8,4,10,8,2,6,6,2
-8.095780788010837,2.0780407577121838,8,6,2,6,6,2,6,2,2
8.97006183790533,-4.202883597817985,2,2,2,4,10,4,8,8,0
-4.764303327914727,6.622639105655771,10,8,6,10,6,2,2,4,2
-0.813311345861533,4.082160663528133,10,8,6,6,8,4,6,4,2
-2.933320121994225,5.779806811521834,10,10,6,8,6,2,4,8,2
-0.9357122991610924,6.921689080548703,10,8,6,6,6,2,4,4,2
-1.8714168537234204,8.537018770441922,10,10,6,4,8,2,4,4,2
4.9052417758291655,1.2460840227245382,8,6,6,4,8,6,8,6,1
3.45519598325051,-4.6130118890651195,4,4,6,10,6,6,8,8,0
-0.09868237831197965,-4.085376112903744,8,4,6,10,10,8,8,6,1
-3.14911507357356,-0.8451667606055382,10,8,6,10,10,6,8,6,1
0.6796611253189164,2.5529533226538157,6,8,6,8,8,6,4,8,1
6.9232022813585345,-5.900743171167976,2,4,6,4,10,10,8,8,0
-6.096418547874969,4.426423677959881,10,10,6,10,8,2,4,6,2
-3.5771660045557483,3.306473966844332,10,10,6,8,8,4,6,4,2
3.475791128382585,0.7050931205772475,8,6,6,6,4,6,8,8,1
1.0632355575684351,-4.411265440341732,6,6,6,10,8,8,10,6,1
-1.6770179638577067,-2.605958257841658,8,6,8,10,10,6,8,6,1
2.55941145720357,-5.671791572935746,2,6,6,10,8,8,8,8,0
-3.3428406540830413,-2.702268261869082,8,6,6,10,10,6,8,8,1
